Index,StationName
1,San Francisco
2,22nd Street
3,Bayshore
4,South San Francisco
5,San Bruno
6,Millbrae Transit Center
7,Broadway
8,Burlingame
9,San Mateo
10,Hayward Park
11,Hillsdale
12,Belmont
13,San Carlos
14,Redwood City
15,Atherton
16,Menlo Park
17,Palo Alto
18,Stanford
19,California Avenue
20,San Antonio
21,Mountain View
22,Sunnyvale
23,Lawrence
24,Santa Clara
25,College Park
26,San Jose Diridon
27,Tamien
28,Capitol
29,Blossom Hill
30,Morgan Hill
31,San Martin
32,Gilroy